ANO,CODMUNRES,SUICIDES
2015,251650,2
2015,251660,2
2015,251680,1
2015,251700,1
2015,260000,1
2015,260005,2
2015,260050,2
2015,260090,2
2015,260110,2
2015,260140,1
2015,260160,1
2015,260170,4
2015,260190,5
2015,260200,5
2015,260210,3
2015,260220,1
2015,260250,1
2015,260260,2
2015,260280,1
2015,260290,2
2015,260310,1
2015,260320,1
2015,260330,1
2015,260340,2
2015,260345,4
2015,260350,3
2015,260380,1
2015,260400,2
2015,260410,17
2015,260430,2
2015,260450,1
2015,260460,3
2015,260490,1
2015,260500,2
2015,260510,1
2015,260520,3
2015,260540,1
2015,260570,3
2015,260580,1
2015,260590,1
2015,260600,4
2015,260610,1
2015,260620,3
2015,260630,1
2015,260640,2
2015,260680,3
2015,260690,1
2015,260720,3
2015,260730,1
2015,260750,3
2015,260760,1
2015,260765,4
2015,260770,1
2015,260790,13
2015,260810,2
2015,260830,1
2015,260840,2
2015,260850,2
2015,260860,1
2015,260870,2
2015,260875,2
2015,260880,4
2015,260890,3
2015,260900,1
2015,260915,1
2015,260920,1
2015,260940,1
2015,260960,11
2015,260990,2
2015,261000,3
2015,261010,1
2015,261020,1
2015,261030,1
2015,261050,1
2015,261060,3
2015,261070,9
2015,261080,3
2015,261090,2
2015,261100,1
2015,261110,7
2015,261130,1
2015,261160,60
2015,261170,2
2015,261220,1
2015,261245,2
2015,261247,1
2015,261250,1
2015,261255,2
2015,261300,1
2015,261310,2
2015,261330,3
2015,261340,1
2015,261350,3
2015,261360,2
2015,261380,1
2015,261390,3
2015,261410,2
2015,261450,5
2015,261460,1
2015,261480,1
2015,261530,5
2015,261540,1
2015,261550,1
2015,261560,1
2015,261570,1
2015,261580,2
2015,261618,1
2015,261630,1
2015,261640,5
2015,270010,1
2015,270020,1
2015,270030,9
2015,270040,1
2015,270060,1
2015,270070,2
2015,270100,1
2015,270130,1
2015,270140,1
2015,270150,1
2015,270160,1
2015,270180,1
2015,270200,3
2015,270210,1
2015,270255,3
2015,270260,1
2015,270300,1
2015,270320,2
2015,270330,1
2015,270375,1
2015,270380,1
