,QUANTIDADE,MUNCOD
919,2,311790
920,5,311800
921,6,311830
922,1,311840
923,130,311860
924,1,311880
925,9,311910
926,1,311920
927,1,311940
928,1,311980
929,10,312090
930,1,312100
931,1,312125
932,2,312230
933,1,312235
934,2,312370
935,1,312380
936,18,312410
937,1,312420
938,1,312430
939,3,312440
940,1,312490
941,1,312500
942,1,312610
943,1,312680
944,1,312690
945,8,312710
946,4,312730
947,39,312770
948,1,312825
949,1,312850
950,1,312920
951,6,312950
952,2,312960
953,1,312965
954,1,312970
955,51,312980
956,10,313010
957,1,313020
958,1,313060
959,2,313100
960,1,313120
961,1,313130
962,4,313150
963,1,313160
964,4,313170
965,1,313290
966,2,313350
967,8,313370
968,1,313375
969,18,313380
970,2,313420
971,5,313440
972,6,313460
973,3,313490
974,2,313510
975,3,313520
976,1,313580
977,1,313600
978,6,313620
979,9,313630
980,8,313665
981,125,313670
982,3,313720
983,1,313750
984,1,313753
985,4,313760
986,1,313770
987,1,313860
988,1,313940
989,2,313990
990,8,314015
991,15,314070
992,1,317150
993,13,314110
994,2,314160
995,4,314240
996,2,314280
997,1,314290
998,1,314310
999,40,314330
1000,2,314350
1001,14,314390
1002,1,314430
1003,1,314437
1004,1,314470
1005,12,314480
1006,1,314500
1007,5,314520
1008,1,313660
1009,1,314545
1010,8,314610
1011,1,314630
1012,1,314690
1013,4,314710
1014,3,314700
1015,1,314720
1016,12,314740
1017,19,314790
1018,9,314800
1019,3,314810
1020,6,314930
1021,2,314980
1022,1,315070
1023,3,315120
1024,1,315140
1025,2,315150
1026,3,315160
1027,4,315180
1028,5,315200
1029,3,315210
1030,21,315250
1031,1,315260
1032,1,315280
1033,1,315290
1034,2,315360
1035,10,315390
1036,1,315410
1037,63,315460
1038,6,315480
1039,4,315490
1040,2,315540
1041,1,315550
1042,1,315580
1043,1,315630
1044,32,315670
1045,3,315690
1046,3,315720
1047,1,315733
1048,1,315770
1049,59,315780
1050,2,315820
1051,8,315960
1052,1,315860
1053,1,316040
1054,1,316070
1055,4,316100
1056,4,316140
1057,1,316160
1058,4,316210
1059,1,316220
1060,1,316245
1061,4,316250
1062,1,316270
1063,5,316290
1064,23,316292
1065,2,316295
1066,1,316470
1067,20,316553
1068,18,316720
1069,1,316750
1070,1,316800
1071,4,316860
1072,1,316880
1073,5,316935
1074,3,316960
1075,1,317000
1076,141,317010
1077,94,317020
1078,1,317040
1079,3,317080
1080,1,317090
1081,21,317120
1082,1,317130
1083,1,317190
1084,2,320070
1085,3,320080
1086,2,320100
1087,4,320115
1088,161,320120
1089,162,320130
1090,3,320140
1091,2,320150
1092,3,320160
1093,5,320240
1094,4,320255
1095,10,320280
1096,4,320305
1097,7,320320
1098,1,320330
1099,13,320332
1100,1,320334
1101,2,320340
1102,3,320370
1103,6,320380
1104,1,320390
1105,1,320400
1106,2,320405
1107,3,320410
1108,11,320420
1109,2,320430
1110,1,320435
1111,1,320450
1112,9,320490
1113,158,320500
1114,4,320503
1115,55,320510
1116,101,320520
1117,52,320530
1118,9,330010
1119,1,330015
1120,7,330020
1121,5,330030
1122,24,330040
1123,62,330045
1124,1,330060
1125,1,330070
1126,1,330080
1127,3,330090
1128,184,330100
1129,1,330115
1130,103,330170
1131,5,330185
1132,9,330190
1133,18,330200
1134,1,330210
1135,2,330220
1136,12,330227
1137,1,330240
1138,1,330245
1139,20,330250
1140,1,330260
1141,11,330270
1142,11,330285
1143,10,330300
1144,27,330320
1145,124,330330
1146,28,330340
1147,210,330350
1148,1,330370
1149,63,330390
1150,1,330395
1151,20,330414
1152,1,330420
1153,3,330430
1154,1,330450
1155,1,330452
1156,907,330455
1157,4,330480
1158,70,330490
1159,4,330500
1160,65,330510
1161,4,330550
1162,2,330555
1163,14,330580
1164,10,330630
1165,4,350010
1166,2,350020
1167,4,350030
1168,2,350055
1169,2,350070
1170,1,350100
1171,8,350130
1172,3,350140
1173,6,350160
1174,3,350170
1175,1,350180
1176,3,350190
1177,1,350210
1178,1,350230
1179,1,350240
1180,1,350275
1181,15,350280
1182,2,350290
1183,1,350310
1184,14,350320
1185,10,350330
1186,1,350360
1187,2,350370
1188,6,350380
1189,7,350390
1190,8,350400
1191,7,350410
1192,1,350440
1193,25,350450
1194,3,350460
1195,1,350480
1196,57,350550
1197,8,350560
1198,14,350570
1199,5,350590
1200,104,350600
1201,6,350610
1202,2,350630
1203,1,350635
1204,1,350650
1205,2,350660
1206,1,350690
1207,1,350700
1208,30,350750
1209,7,350760
1210,7,350780
1211,1,350800
1212,12,350850
1213,1,350860
1214,3,350900
1215,1,350920
1216,3,350925
1217,3,350930
1218,12,350940
1219,1,350945
1220,188,350950
1221,10,350960
1222,1,351020
1223,2,351050
1224,56,351060
1225,1,351070
1226,103,351110
1227,2,351140
1228,1,351170
1229,1,355720
1230,2,351200
1231,1,351220
1232,2,351240
1233,2,351270
1234,16,351280
1235,5,351300
1236,4,351310
1237,1,351370
1238,44,351380
1239,1,351400
1240,1,351410
1241,3,351430
1242,8,351440
1243,1,351470
1244,1,351480
1245,1,351490
1246,26,351500
1247,1,351510
1248,1,351520
1249,14,351570
1250,1,351600
1251,28,351620
1252,11,351630
1253,15,351640
1254,5,351660
1255,1,351670
1256,2,351690
1257,2,351730
1258,10,351740
1259,7,351750
1260,2,351790
1261,1,351800
1262,1,351820
1263,2,351830
1264,7,351840
1265,3,351850
1266,6,351860
1267,10,351870
1268,98,351880
1269,1,351905
1270,16,351907
1271,5,351925
1272,1,351930
1273,9,351940
1274,1,351950
1275,4,351960
1276,1,351970
1277,1,351980
1278,2,352010
1279,2,352020
1280,2,352030
1281,1,352042
1282,1,352044
1283,1,352050
1284,4,352100
1285,2,352115
1286,1,352140
1287,1,352150
1288,6,352180
1289,2,352190
1290,1,352210
1291,12,352220
1292,1,352230
1293,28,352250
1294,8,352260
1295,5,352280
1296,10,352310
1297,1,352330
1298,3,352350
1299,2,352360
1300,15,352390
1301,2,352400
1302,17,352430
1303,12,352440
1304,6,352450
1305,1,352460
1306,13,352470
1307,8,352480
1308,24,352500
1309,4,352510
1310,8,352530
1311,6,352570
1312,70,352590
1313,2,352600
1314,2,352620
1315,1,352640
1316,1,352650
1317,15,352690
1318,1,352710
1319,1,352720
1320,1,352730
1321,3,352740
1322,1,352780
1323,2,352840
1324,4,352850
1325,1,352860
1326,1,352870
1327,1,352890
1328,30,352900
1329,2,352920
1330,6,352930
1331,11,352940
1332,1,352960
1333,3,352990
1334,2,353010
1335,1,353020
1336,5,353030
1337,4,353040
1338,20,353050
1339,50,353060
1340,7,353070
1341,5,353080
1342,3,353110
1343,4,353130
1344,11,353140
1345,1,353150
1346,6,353180
1347,1,353200
1348,2,353215
1349,4,353220
1350,3,353240
1351,2,353250
1352,5,353280
1353,8,353300
1354,1,353330
1355,2,353325
1356,2,353350
1357,1,353370
1358,2,353390
1359,2,353400
1360,1,353410
1361,4,353420
1362,58,353440
1363,2,353450
1364,9,353470
1365,1,353500
1366,3,353510
1367,2,353520
1368,3,353540
1369,1,353570
1370,1,353580
1371,2,353620
1372,2,353625
1373,3,353640
1374,1,353650
1375,2,353660
1376,2,353670
1377,1,353690
1378,1,353700
1379,3,353710
1380,3,353730
1381,1,353760
1382,3,353780
1383,5,353800
1384,2,353810
1385,1,353830
1386,28,353870
1387,3,353880
1388,1,353890
1389,2,353900
1390,5,353920
1391,3,353930
1392,11,353950
1393,15,353980
1394,4,353990
1395,4,354000
1396,1,354060
1397,3,354070
1398,1,354075
1399,6,354080
1400,2,354090
1401,10,354100
1402,1,354120
1403,3,354130
1404,59,354140
1405,1,354150
1406,1,354160
1407,1,354170
1408,1,354200
1409,2,354220
1410,2,354240
1411,3,354290
1412,4,354310
1413,1,354323
1414,4,354330
1415,221,354340
1416,8,354390
1417,2,354400
1418,4,354410
1419,5,354420
1420,3,354480
1421,2,354500
1422,5,354520
1423,1,354530
1424,1,354540
1425,1,354560
1426,1,354580
1427,1,354600
1428,3,354640
1429,1,354690
1430,6,354750
1431,2,354760
1432,5,354730
1433,1,354770
1434,28,354780
1435,1,354790
1436,31,354850
1437,16,354870
1438,2,354880
1439,35,354890
1440,8,354910
1441,9,354940
1442,1,354950
1443,3,354970
1444,237,354980
1445,141,354990
1446,1,354995
1447,6,355010
1448,1693,355030
1449,2,355040
1450,1,355050
1451,1,355060
1452,7,355070
1453,1,355090
1454,78,355100
1455,6,355140
1456,5,355150
1457,29,355170
1458,2,355180
1459,1,355190
1460,1,355210
1461,26,355220
1462,28,355240
1463,25,355250
1464,2,355260
1465,32,355280
1466,1,355340
1467,14,355370
1468,3,355380
1469,8,355400
1470,12,355410
1471,1,355430
1472,1,355450
1473,2,355480
1474,2,355495
1475,2,355510
1476,17,355540
1477,2,355550
1478,1,355600
1479,3,355610
1480,1,355620
1481,2,355630
1482,10,355640
1483,11,355650
1484,1,355680
1485,1,355690
1486,2,355700
1487,27,355710
1488,1,410030
1489,31,410040
1490,4,410080
1491,1,410100
1492,14,410140
1493,6,410150
1494,5,410160
1495,5,410180
1496,1,410190
1497,1,410210
1498,1,410220
1499,4,410230
1500,1,410310
1501,1,410320
1502,1,410330
1503,13,410370
1504,2,410380
1505,10,410400
1506,2,410410
1507,43,410420
1508,2,410425
1509,8,410430
1510,1,410440
1511,1,410445
1512,3,410460
1513,1,410465
1514,20,410480
1515,3,410510
1516,2,410520
1517,2,410550
1518,35,410580
1519,3,410590
1520,6,410620
1521,363,410690
1522,30,410765
1523,1,410800
1524,2,410830
1525,3,410845
1526,1,410860
1527,1,410880
1528,2,410930
1529,3,410940
1530,13,410960
1531,6,410980
1532,1,410990
1533,1,411007
1534,1,411010
1535,2,411070
1536,5,411125
1537,7,411190
1538,6,411200
1539,2,411230
1540,2,411270
1541,1,411280
1542,2,411320
1543,84,411370
1544,2,411410
1545,3,411420
1546,3,411430
1547,1,411450
1548,1,411460
1549,1,411480
1550,56,411520
1551,2,411560
1552,5,411570
1553,1,411575
1554,1,411600
1555,1,411610
1556,1,411620
1557,1,411630
1558,2,411721
1559,3,411730
1560,1,411745
1561,2,411750
1562,2,411760
1563,4,411770
1564,64,411820
1565,2,411880
1566,4,411910
1567,20,411915
1568,2,411920
1569,5,411940
1570,21,411950
1571,6,411990
1572,7,411995
1573,1,412000
1574,1,412010
1575,1,412070
1576,7,412080
1577,1,412100
1578,3,412170
1579,1,412175
1580,1,412180
1581,7,412220
1582,4,412230
1583,9,412240
1584,1,412250
1585,1,412410
1586,25,412550
1587,2,412560
1588,4,412625
1589,1,412630
1590,1,412650
1591,5,412710
1592,1,412730
1593,1,412770
1594,1,412785
1595,2,412795
1596,1,412800
1597,7,412810
1598,1,412820
1599,1,412840
1600,3,412853
1601,1,412870
1602,1,420020
1603,3,420060
1604,1,420100
1605,2,420125
1606,1,420127
1607,15,420130
1608,19,420140
1609,1,420165
1610,1,420170
1611,3,420195
1612,5,420205
1613,11,420200
1614,4,421280
1615,6,422000
1616,6,420210
1617,33,420230
1618,63,420240
1619,1,420260
1620,2,420245
1621,2,420280
1622,1,420290
1623,2,420300
1624,11,420320
1625,2,420370
1626,3,420380
1627,6,420395
1628,16,420420
1629,4,420425
1630,3,420430
1631,1,420455
1632,86,420460
1633,2,420470
1634,2,420530
1635,398,420540
1636,8,420545
1637,15,420570
1638,1,420590
1639,9,420600
1640,3,420690
1641,10,420700
1642,1,420710
1643,2,420720
1644,11,420730
1645,1,420750
1646,2,420810
1647,141,420820
1648,4,420830
1649,1,420870
1650,1,420880
1651,1,420890
1652,196,420910
1653,46,420930
1654,15,420940
1655,1,420960
1656,2,420990
1657,3,421010
1658,2,421020
1659,1,421120
1660,23,421130
1661,1,421150
1662,3,421160
1663,6,421170
1664,4,421175
1665,109,421190
1666,1,421200
1667,2,421205
1668,7,421230
1669,7,421250
1670,2,421265
1671,2,421290
1672,2,421320
1673,1,421335
1674,1,421350
1675,2,421370
1676,2,421400
1677,1,421420
1678,1,421460
1679,14,421480
1680,3,421545
1681,1,421565
1682,7,421570
1683,3,421580
1684,35,421620
1685,9,421630
1686,1,421650
1687,159,421660
1688,1,421725
1689,1,421740
1690,1,421750
1691,3,421760
1692,6,421770
1693,1,421780
1694,25,421800
1695,18,421870
1696,1,421890
1697,2,421930
1698,6,421950
1699,1,421970
1700,14,430040
1701,131,430060
1702,1,430120
1703,4,430110
1704,6,430130
1705,1,430150
1706,5,430163
1707,2,430190
1708,5,430210
1709,1,430235
1710,1,430258
1711,6,430270
1712,1,430290
1713,14,430300
1714,47,430310
1715,8,430350
1716,2,430390
1717,1,430435
1718,3,430440
1719,8,430450
1720,172,430460
1721,24,430463
1722,13,430466
1723,1,430467
1724,1,430500
1725,42,430510
1726,4,430512
1727,1,430520
1728,13,430535
1729,13,430545
1730,1,430590
1731,1,430595
1732,8,430605
1733,47,430610
1734,1,430637
1735,1,430640
1736,14,430660
1737,20,430676
1738,1,430680
1739,1,430690
1740,1,430693
1741,1,430705
1742,1,430750
1743,1,430760
1744,5,430770
1745,2,430790
1746,2,430840
1747,1,430860
1748,1,430870
1749,2,430912
1750,48,430920
1751,32,430930
1752,3,430710
1753,2,431000
1754,3,431010
1755,13,431020
1756,6,431033
1757,17,431100
1758,5,431130
1759,5,431140
1760,1,431175
1761,2,431177
1762,5,431180
1763,1,431190
1764,9,431240
1765,4,431245
1766,1,431265
1767,1,431270
