"Município";"2015";"2016";"2017";"Total"
"210130 Bacuri";17;26;27;70
"210135 Bacurituba";2;1;-;3
"210140 Balsas";118;130;174;422
"210150 Barão de Grajaú";57;55;38;150
"210160 Barra do Corda";123;55;63;241
"210170 Barreirinhas";38;60;63;161
"210177 Bela Vista do Maranhão";23;9;46;78
"210173 Belágua";1;2;2;5
"210180 Benedito Leite";7;6;27;40
"210190 Bequimão";68;53;46;167
"210193 Bernardo do Mearim";1;2;9;12
"210197 Boa Vista do Gurupi";14;21;3;38
"210200 Bom Jardim";132;46;107;285
"210203 Bom Jesus das Selvas";20;25;58;103
"210207 Bom Lugar";3;3;3;9
"210210 Brejo";46;54;66;166
"210215 Brejo de Areia";2;-;1;3
"210220 Buriti";48;51;9;108
"210230 Buriti Bravo";33;69;104;206
"210232 Buriticupu";128;136;122;386
"210235 Buritirana";5;7;8;20
"210237 Cachoeira Grande";2;11;7;20
"210240 Cajapió";11;4;13;28
"210250 Cajari";13;5;14;32
"210255 Campestre do Maranhão";16;19;4;39
"210260 Cândido Mendes";10;22;16;48
"210270 Cantanhede";33;19;12;64
"210275 Capinzal do Norte";26;13;10;49
"210280 Carolina";50;18;40;108
"210290 Carutapera";20;26;22;68
"210300 Caxias";79;95;88;262
"210310 Cedral";14;13;10;37
"210312 Central do Maranhão";36;21;4;61
"210315 Centro do Guilherme";3;5;6;14
"210317 Centro Novo do Maranhão";17;16;14;47
"210320 Chapadinha";131;93;92;316
"210325 Cidelândia";7;2;42;51
"210330 Codó";127;142;143;412
"210340 Coelho Neto";216;103;52;371
"210350 Colinas";56;58;106;220
"210355 Conceição do Lago-Açu";2;2;8;12
"210360 Coroatá";28;20;20;68
"210370 Cururupu";52;72;30;154
"210375 Davinópolis";12;3;4;19
"210380 Dom Pedro";38;28;23;89
"210390 Duque Bacelar";70;35;18;123
"210400 Esperantinópolis";41;48;64;153
"210405 Estreito";66;37;88;191
"210407 Feira Nova do Maranhão";1;7;51;59
"210408 Fernando Falcão";11;15;13;39
"210409 Formosa da Serra Negra";36;25;32;93
"210410 Fortaleza dos Nogueiras";35;22;38;95
"210420 Fortuna";31;19;28;78
"210430 Godofredo Viana";1;9;2;12
"210440 Gonçalves Dias";18;9;57;84
"210450 Governador Archer";18;19;23;60
"210455 Governador Edison Lobão";9;5;3;17
"210460 Governador Eugênio Barros";68;55;44;167
"210462 Governador Luiz Rocha";34;24;21;79
"210465 Governador Newton Bello";6;7;6;19
"210467 Governador Nunes Freire";48;30;46;124
"210470 Graça Aranha";9;5;8;22
"210480 Grajaú";145;130;151;426
