,QUANTIDADE,MUNCOD,MUNNOME,LATITUDE,LONGITUDE
365,2,351540,Fartura,-23.388,-49.51
366,32,351550,Fernandópolis,-20.284,-50.246
367,162,351620,Franca,-20.539,-47.401
368,18,351670,Garça,-22.211,-49.656
369,1,351690,General Salgado,-20.648,-50.361
370,29,351740,Guaíra,-20.318,-48.311
371,5,351820,Guararapes,-21.261,-50.643
372,558,351840,Guaratinguetá,-22.816,-45.193
373,26,351860,Guariba,-21.36,-48.228
374,26,351870,Guarujá,-23.993,-46.256
375,83,351880,Guarulhos,-23.463,-46.533
376,21,351960,Ibitinga,-21.758,-48.829
377,22,352010,Igarapava,-20.038,-47.747
378,19,352044,Ilha Solteira,-20.433,-51.343
379,1014,352050,Indaiatuba,-23.09,-47.218
380,2,352190,Itajobi,-21.318,-49.054
381,95,352230,Itapetininga,-23.592,-48.053
382,1120,352240,Itapeva,-23.982,-48.876
383,87,352260,Itapira,-22.436,-46.822
384,45,352270,Itápolis,-21.596,-48.813
385,11,352280,Itaporanga,-23.708,-49.49
386,4,352320,Itararé,-24.115,-49.341
387,212,352340,Itatiba,-23.006,-46.839
388,92,352390,Itu,-23.264,-47.299
389,262,352410,Ituverava,-20.339,-47.781
390,150,352430,Jaboticabal,-21.255,-48.322
391,863,352440,Jacareí,-23.305,-45.966
392,1,352450,Jaci,-20.882,-49.57
393,116,352480,Jales,-20.269,-50.546
394,8852,352530,Jaú,-22.296,-48.558
395,936,352590,Jundiaí,-23.186,-46.884
396,9,352600,Junqueirópolis,-21.515,-51.434
397,66,352640,Laranjal Paulista,-23.05,-47.837
398,33,352670,Leme,-22.186,-47.39
399,62,352680,Lençóis Paulista,-22.599,-48.8
400,4808,352690,Limeira,-22.565,-47.402
401,443,352710,Lins,-21.679,-49.743
402,37,352720,Lorena,-22.731,-45.125
403,6,352730,Louveira,-23.086,-46.951
404,2,352740,Lucélia,-21.72,-51.019
405,18,352800,Macatuba,-22.502,-48.711
406,1,352880,Maracaí,-22.611,-50.667
407,2781,352900,Marília,-22.214,-49.946
408,2,352920,Martinópolis,-22.146,-51.171
409,164,352930,Matão,-21.603,-48.366
410,569,352940,Mauá,-23.668,-46.461
411,16,353030,Mirassol,-20.819,-49.521
412,165,353050,Mococa,-21.468,-47.005
413,90,353060,Mogi das Cruzes,-23.523,-46.188
414,345,353070,Mogi Guaçu,-22.372,-46.942
415,43,353080,Moji Mirim,-22.432,-46.958
416,743,353130,Monte Alto,-21.261,-48.496
417,31,353140,Monte Aprazível,-20.773,-49.714
418,5,353150,Monte Azul Paulista,-20.907,-48.641
419,5,353190,Morro Agudo,-20.731,-48.058
420,6,353260,Nhandeara,-20.694,-50.038
421,44,353300,Nova Granada,-20.534,-49.314
422,77,353350,Novo Horizonte,-21.468,-49.221
423,56,353390,Olímpia,-20.737,-48.915
424,68,353430,Orlândia,-20.72,-47.887
425,2,353440,Osasco,-23.533,-46.792
426,7,353460,Osvaldo Cruz,-21.797,-50.89
427,1488,353470,Ourinhos,-22.979,-49.871
428,1,353475,Ouroeste,-20.001,-50.372
429,1,353490,Pacaembu,-21.562,-51.261
430,25,353550,Paraguaçu Paulista,-22.413,-50.576
431,6,353630,Patrocínio Paulista,-20.639,-47.282
432,7,353670,Pederneiras,-22.352,-48.775
433,5,353700,Pedregulho,-20.257,-47.477
434,28,353730,Penápolis,-21.42,-50.078
435,5,353740,Pereira Barreto,-20.638,-51.109
436,9,353780,Piedade,-23.712,-47.428
437,21,353790,Pilar do Sul,-23.813,-47.716
438,150,353800,Pindamonhangaba,-22.924,-45.462
439,1144,353870,Piracicaba,-22.725,-47.649
440,12,353880,Piraju,-23.194,-49.384
441,9,353890,Pirajuí,-21.999,-49.457
442,3,353900,Pirangi,-21.091,-48.658
443,471,353930,Pirassununga,-21.996,-47.426
444,5,353940,Piratininga,-22.413,-49.135
445,8,353950,Pitangueiras,-21.009,-48.222
446,8,354000,Pompéia,-22.109,-50.172
447,16,354020,Pontal,-21.023,-48.037
448,16,354040,Populina,-19.954,-50.538
449,13,354060,Porto Feliz,-23.215,-47.524
450,113,354070,Porto Ferreira,-21.854,-47.479
451,59,354080,Potirendaba,-21.043,-49.377
452,74,354100,Praia Grande,-24.006,-46.403
453,4,354120,Presidente Bernardes,-22.006,-51.553
454,18,354130,Presidente Epitácio,-21.763,-52.116
455,2353,354140,Presidente Prudente,-22.126,-51.389
456,62,354150,Presidente Venceslau,-21.876,-51.844
457,29,354220,Rancharia,-22.229,-50.893
458,16,354240,Regente Feijó,-22.221,-51.303
459,4,354260,Registro,-24.488,-47.844
460,1,354290,Ribeirão Bonito,-22.067,-48.176
461,83,354330,Ribeirão Pires,-23.711,-46.413
462,7860,354340,Ribeirão Preto,-21.178,-47.81
463,1,354380,Rinópolis,-21.726,-50.722
464,2003,354390,Rio Claro,-22.411,-47.561
465,1,354400,Rio das Pedras,-22.843,-47.606
466,144,354520,Salto,-23.201,-47.287
467,7,354530,Salto de Pirapora,-23.649,-47.573
468,4,354560,Santa Adélia,-21.243,-48.804
469,7,354580,Santa Bárbara d'Oeste,-22.754,-47.414
470,21,354630,Santa Cruz das Palmeiras,-21.827,-47.249
471,36,354640,Santa Cruz do Rio Pardo,-22.899,-49.633
472,13,354660,Santa Fé do Sul,-20.211,-50.926
473,21,354750,Santa Rita do Passa Quatro,-21.71,-47.478
474,2,354760,Santa Rosa de Viterbo,-21.473,-47.363
475,7,354770,Santo Anastácio,-21.977,-51.652
476,1209,354780,Santo André,-23.664,-46.538
477,6224,354850,Santos,-23.961,-46.334
478,1,354860,São Bento do Sapucaí,-22.689,-45.731
479,632,354870,São Bernardo do Campo,-23.694,-46.565
480,1313,354890,São Carlos,-22.018,-47.891
481,525,354910,São João da Boa Vista,-21.969,-46.798
482,9,354940,São Joaquim da Barra,-20.581,-47.855
483,149,354970,São José do Rio Pardo,-21.596,-46.889
484,9461,354980,São José do Rio Preto,-20.82,-49.379
485,6578,354990,São José dos Campos,-23.179,-45.887
486,4,355010,São Manuel,-22.731,-48.571
487,64699,355030,São Paulo,-23.548,-46.636
488,409,355060,São Roque,-23.529,-47.135
489,20,355070,São Sebastião,-23.76,-45.41
490,3,355080,São Sebastião da Grama,-21.711,-46.821
491,1,355090,São Simão,-21.479,-47.551
492,5,355100,São Vicente,-23.963,-46.392
493,17,355160,Serra Negra,-22.612,-46.701
494,148,355170,Sertãozinho,-21.138,-47.99
495,7,355210,Socorro,-22.591,-46.529
496,3336,355220,Sorocaba,-23.502,-47.458
497,1,355230,Sud Mennucci,-20.691,-50.924
498,2,355250,Suzano,-23.543,-46.311
499,1,355330,Tambaú,-21.705,-47.274
500,7,355340,Tanabi,-20.626,-49.649
501,184,355370,Taquaritinga,-21.406,-48.505
502,154,355400,Tatuí,-23.356,-47.857
503,1097,355410,Taubaté,-23.026,-45.555
504,6,355430,Teodoro Sampaio,-22.533,-52.168
505,134,355450,Tietê,-23.102,-47.715
506,122,355500,Tupã,-21.935,-50.514
507,1,355510,Tupi Paulista,-21.381,-51.571
508,3,355540,Ubatuba,-23.434,-45.071
509,119,355620,Valinhos,-22.971,-46.996
510,1,355630,Valparaíso,-21.228,-50.868
511,19,355640,Vargem Grande do Sul,-21.832,-46.894
512,38,355670,Vinhedo,-23.03,-46.975
513,5,355680,Viradouro,-20.873,-48.297
514,1392,355710,Votuporanga,-20.423,-49.973
515,3,355720,Chavantes,-23.039,-49.709
516,3,410110,Andirá,-23.051,-50.229
