"Município";"2007/Jan";"2007/Abr";"2007/Mai";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"431545 Relvado";-;-;-;-;-;-;-;-;-;-;1;1;-;-;2;1;-;-;-;1;2;-;-;-;-;1;-;1;-;-;-;-;2;-;1;2;-;1;-;2;1;-;2;-;2;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;1;2;-;-;-;-;-;1;-;1;1;-;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;43
"431550 Restinga Seca";-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;4;5;5;4;9;12;19;11;7;9;10;5;4;10;6;5;23;23;19;10;13;10;4;10;4;8;4;11;10;11;16;12;9;8;8;3;2;5;2;4;12;9;12;4;4;4;5;4;24;14;4;6;8;2;3;2;4;3;4;-;1;8;2;2;4;8;5;6;3;6;2;3;6;4;2;3;1;2;1;3;3;4;1;-;3;2;2;4;1;1;3;-;2;2;-;-;-;4;2;3;1;-;2;2;1;1;2;2;-;3;-;2;3;7;5;1;1;4;4;-;1;3;3;5;6;2;4;3;4;1;11;5;3;3;8;8;2;4;5;5;6;-;1;-;730
"431555 Rio dos Índios";-;-;-;-;-;-;-;-;-;-;2;1;-;-;2;-;3;4;3;2;-;2;2;3;1;-;-;1;-;-;2;3;2;3;1;4;1;1;1;-;1;-;4;-;-;-;1;2;1;-;-;-;-;-;1;1;1;-;1;-;-;-;1;1;2;-;2;1;1;-;-;1;2;1;-;-;-;-;1;3;-;3;1;1;-;1;1;-;1;3;3;1;1;-;1;3;2;1;-;2;-;4;1;1;1;1;1;-;1;3;-;-;-;-;-;1;1;3;-;1;1;1;-;1;1;1;1;-;-;1;-;1;1;1;-;1;-;-;-;4;1;2;-;4;2;-;2;1;-;3;2;1;2;-;-;-;-;-;-;152
"431560 Rio Grande";-;-;-;-;-;-;-;-;10;11;8;5;6;4;4;4;3;7;6;7;8;13;14;6;11;13;9;4;7;6;7;3;11;6;7;10;11;5;4;14;6;16;12;4;7;13;7;9;13;8;2;3;5;7;4;2;5;7;9;7;5;8;5;5;5;5;2;8;9;9;6;8;2;1;4;4;1;3;3;5;4;11;1;4;8;3;1;2;5;3;7;2;9;8;4;2;3;1;2;2;3;4;-;3;4;7;1;6;2;3;-;-;-;2;4;4;3;-;-;-;1;1;1;-;1;1;-;2;-;4;1;1;2;2;2;2;-;-;2;1;-;1;3;4;3;2;1;2;4;1;2;2;4;7;5;4;3;3;1;692
"431570 Rio Pardo";-;-;-;-;-;-;-;-;5;15;-;1;-;9;8;5;8;16;7;1;2;5;-;-;2;-;1;6;9;3;5;3;2;1;1;6;2;4;1;5;1;2;-;1;-;-;-;-;-;-;-;-;1;3;2;1;1;1;2;1;1;2;2;-;-;-;-;1;6;1;1;2;-;-;1;1;1;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;1;1;-;1;3;4;7;1;4;2;1;2;3;1;-;-;-;1;-;1;-;-;1;-;1;-;-;-;-;4;-;-;-;-;-;1;2;-;-;-;1;-;1;-;-;1;-;1;-;3;-;-;2;-;2;-;1;-;2;-;4;-;-;-;-;232
"431575 Riozinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;14
"431580 Roca Sales";-;-;-;-;-;-;-;-;-;-;-;4;2;1;-;-;2;1;-;1;-;-;1;2;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
"431590 Rodeio Bonito";-;-;-;-;-;-;-;-;3;4;6;5;6;4;4;4;-;2;3;-;2;6;6;5;4;1;-;-;3;1;1;5;3;4;4;5;2;1;1;1;-;3;4;4;-;9;2;1;3;3;-;1;-;-;3;-;-;2;-;3;1;4;-;2;1;2;4;-;2;1;1;-;3;1;3;-;-;2;1;1;1;2;1;3;5;-;3;2;1;2;1;3;4;2;2;2;3;2;2;-;2;3;5;1;2;-;3;1;2;5;-;3;5;-;3;3;4;1;1;1;1;1;3;-;-;1;2;4;6;7;-;3;3;3;6;2;1;4;5;4;4;7;1;1;1;1;3;1;1;1;4;4;3;-;1;1;-;-;-;339
"431595 Rolador";-;-;-;-;-;-;-;-;-;2;1;2;-;-;-;1;-;1;-;2;-;1;1;-;-;-;1;1;-;-;2;2;-;-;2;-;-;-;-;2;-;-;2;1;1;1;2;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;4;-;2;1;-;-;-;1;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;48
"431600 Rolante";-;-;-;-;-;-;-;-;-;2;1;3;3;2;3;2;1;3;8;5;1;2;1;-;-;1;1;1;1;2;-;6;3;2;1;-;1;1;2;-;1;2;1;1;4;4;1;-;-;4;2;3;2;1;3;-;2;1;9;-;-;-;-;2;-;1;1;-;-;-;-;-;-;-;1;1;1;-;1;4;-;-;2;2;4;1;1;1;3;-;-;-;2;-;-;2;-;-;1;-;1;2;-;2;-;1;2;-;1;1;-;-;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;150
"431610 Ronda Alta";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;2;-;-;-;1;-;-;-;-;-;-;-;3;1;-;2;-;-;1;3;1;1;-;1;1;-;1;-;-;-;-;1;-;3;-;3;1;1;-;2;-;-;-;-;-;-;-;-;2;-;3;-;2;1;1;2;1;1;1;3;2;5;-;-;4;3;2;5;1;2;8;3;9;4;-;5;4;3;3;3;-;1;1;1;5;5;6;4;3;2;-;8;8;4;1;3;3;4;1;1;1;2;3;2;2;1;1;-;1;2;-;-;5;-;2;3;1;2;2;3;2;1;3;6;3;1;-;1;-;1;1;7;-;-;4;-;1;-;240
"431620 Rondinha";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"431630 Roque Gonzales";-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;8;9;4;6;1;-;5;2;1;9;7;9;17;5;2;8;4;6;9;2;4;7;5;12;5;7;6;6;9;3;4;7;6;2;11;2;11;7;8;12;3;-;2;4;4;3;14;5;5;4;7;7;2;1;4;2;4;6;11;6;9;2;6;7;4;2;3;19;1;5;6;5;7;3;1;3;3;2;3;4;2;4;5;5;-;7;5;-;1;1;1;5;2;4;1;-;5;1;2;1;1;3;-;3;6;4;2;1;3;3;2;1;1;-;2;1;-;-;3;4;-;3;3;4;1;-;-;-;2;1;2;-;-;1;-;1;551
"431640 Rosário do Sul";-;-;-;-;-;-;-;-;1;2;2;1;-;-;1;4;3;4;-;-;-;3;4;2;2;5;2;7;3;5;4;1;6;3;3;6;4;-;-;4;-;-;1;2;-;6;2;3;5;1;1;-;2;1;4;4;1;3;1;-;3;1;2;-;1;2;3;4;1;2;2;4;3;1;1;1;-;-;1;-;6;-;3;1;2;2;-;-;2;1;1;1;1;1;3;3;-;-;-;-;5;1;1;6;-;4;4;4;4;4;2;4;2;4;3;6;1;3;2;10;2;-;2;3;2;-;2;1;-;1;2;2;-;-;1;2;1;3;5;1;2;-;1;2;1;-;-;-;-;-;2;2;-;1;2;-;-;2;1;294
"431642 Sagrada Família";-;-;-;-;-;-;-;-;2;3;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;2;1;2;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;38
"431643 Saldanha Marinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"431645 Salto do Jacuí";-;-;-;-;-;-;-;-;-;-;-;-;3;1;-;-;-;1;3;4;4;2;3;-;1;-;-;-;-;-;1;-;1;1;2;1;1;3;1;1;2;1;-;3;-;2;1;1;-;-;-;-;-;1;1;4;-;-;1;4;1;1;1;-;1;1;-;-;-;-;-;2;1;1;1;2;1;1;-;1;4;2;2;4;3;-;5;5;3;2;1;-;-;4;-;-;-;1;1;-;-;3;-;-;-;2;1;1;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;126
"431647 Salvador das Missões";-;-;-;-;-;-;-;-;-;5;2;3;1;1;1;1;-;1;1;-;-;-;-;5;3;2;1;-;-;-;-;-;-;1;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;1;-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;59
"431650 Salvador do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"431660 Sananduva";-;-;-;-;-;1;-;-;-;4;6;8;7;6;3;2;10;5;6;5;9;7;1;2;5;1;1;-;-;-;-;1;2;-;2;4;-;1;-;1;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;117
"431710 Sant'Ana do Livramento";-;-;-;-;-;-;-;-;17;50;29;20;26;31;29;30;22;26;30;28;22;18;22;20;18;6;6;15;20;16;5;-;-;-;-;9;14;8;7;6;19;17;18;17;30;24;8;15;4;3;2;5;2;6;7;15;18;15;8;14;14;4;3;6;25;8;8;9;9;15;3;11;5;4;4;-;4;2;10;12;11;22;10;2;1;1;2;16;-;1;-;-;-;-;1;1;2;-;-;-;1;3;2;1;1;3;7;-;1;-;-;3;1;3;6;10;5;5;-;7;4;1;1;2;4;1;-;5;10;4;1;1;-;-;-;-;-;1;2;-;-;-;-;1;-;2;-;-;-;-;1;-;1;-;1;-;-;-;-;1125
"431670 Santa Bárbara do Sul";-;-;-;-;-;-;-;1;7;4;4;2;4;4;4;2;2;3;2;2;8;4;1;3;3;7;-;2;2;2;1;3;4;2;1;5;3;-;-;1;1;2;-;-;1;1;1;2;1;-;1;3;5;-;3;3;3;2;5;3;-;1;-;1;1;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;1;-;2;3;-;-;-;-;1;4;1;1;-;2;7;8;5;9;5;12;10;7;6;4;1;1;-;-;1;1;-;-;-;2;2;-;-;1;1;-;2;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;243
"431673 Santa Cecília do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;14
"431675 Santa Clara do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"431680 Santa Cruz do Sul";-;-;-;-;-;-;-;-;9;26;14;15;19;11;7;15;13;20;11;16;13;17;16;21;10;13;11;10;13;10;8;20;15;23;23;10;15;19;10;11;23;16;11;12;14;23;23;14;8;6;8;9;8;4;11;3;8;19;11;12;7;8;6;6;14;7;13;4;6;18;9;10;8;3;5;10;2;13;10;6;7;9;6;9;2;1;5;5;8;2;8;5;7;5;3;1;5;1;2;5;2;-;4;-;1;2;2;3;2;4;4;2;2;4;-;3;2;1;2;3;1;1;2;-;-;2;1;-;-;3;-;1;1;1;-;2;1;2;1;1;1;2;-;1;-;2;1;-;2;1;1;-;3;2;1;1;4;1;1;1055
"431697 Santa Margarida do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"431690 Santa Maria";-;-;-;-;-;-;1;1;9;10;14;4;6;9;7;3;4;3;1;3;2;14;7;2;3;1;1;2;2;3;1;-;2;3;2;4;-;1;3;1;-;1;-;-;2;6;7;4;1;-;1;1;3;1;4;1;4;3;-;2;-;-;-;2;5;4;-;2;3;4;2;2;5;3;5;1;3;1;2;3;1;5;2;-;3;2;2;-;4;3;3;2;3;2;-;2;5;2;2;-;2;-;1;-;3;-;2;1;-;2;-;-;-;2;1;2;1;-;-;-;2;1;-;-;-;-;-;1;2;2;1;-;-;2;1;1;1;2;1;-;-;-;1;2;-;2;-;-;-;-;-;2;2;1;2;-;1;-;-;307
"431695 Santa Maria do Herval";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"431720 Santa Rosa";-;-;-;-;-;-;-;1;2;19;22;17;13;2;2;5;30;33;34;43;45;65;36;24;26;29;21;20;19;23;33;41;44;32;37;33;22;25;23;24;26;31;29;32;40;43;33;16;14;21;9;18;13;15;8;13;16;20;19;20;12;15;11;12;12;7;13;13;6;7;6;4;12;6;10;18;12;7;25;36;28;28;32;22;16;12;14;14;26;16;11;8;6;3;4;17;6;10;13;1;13;5;14;18;15;22;7;10;18;10;7;19;25;14;14;12;11;22;12;8;13;18;4;9;9;6;13;5;4;7;4;9;5;3;2;6;5;2;6;5;3;-;-;2;2;1;1;4;1;2;1;-;1;1;3;1;1;1;1;2249
"431725 Santa Tereza";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431730 Santa Vitória do Palmar";-;-;-;-;-;-;-;-;5;5;1;2;2;1;4;1;1;4;11;15;6;6;8;2;3;2;2;4;2;1;2;-;1;2;7;4;-;3;2;2;2;2;1;3;2;3;-;-;2;1;3;2;-;1;1;-;-;2;1;1;2;2;8;-;1;4;-;2;-;2;-;-;-;-;-;-;1;-;-;2;2;1;-;-;-;-;-;-;1;1;1;-;-;1;-;-;-;2;-;-;1;-;-;1;-;-;1;1;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;1;1;-;-;-;-;-;-;188
"431700 Santana da Boa Vista";-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;3;-;-;-;-;-;-;1;1;-;1;-;-;1;-;-;2;3;-;1;-;-;1;1;-;1;-;4;1;2;4;7;4;5;-;1;2;-;1;1;-;2;4;1;1;-;-;2;1;2;1;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71
"431740 Santiago";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;39;20;24;30;24;13;15;28;18;22;15;5;8;6;8;8;19;40;18;11;6;12;7;6;3;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;3;4;8;1;1;2;3;6;5;5;2;7;3;2;6;3;1;-;-;-;3;2;1;4;2;3;1;3;1;1;1;2;2;2;5;4;2;3;7;3;3;1;2;-;-;-;1;-;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;542
"431750 Santo Ângelo";-;-;-;-;-;-;1;9;6;55;53;47;46;81;27;23;19;35;26;29;28;69;48;18;21;15;15;18;25;23;19;30;77;76;53;31;26;13;4;19;26;33;26;14;12;15;12;16;13;19;12;4;4;6;11;20;16;21;15;17;14;26;10;20;13;7;10;7;9;16;27;6;4;8;4;19;26;18;20;26;16;14;13;10;7;5;6;11;4;5;14;7;14;11;4;10;7;5;4;6;11;5;1;3;6;2;3;1;13;3;3;7;9;-;1;-;2;-;2;-;1;-;-;-;2;-;-;2;7;1;2;4;7;2;1;4;-;3;8;16;7;10;-;3;-;-;-;-;3;7;-;1;-;-;-;-;-;-;3;2026
"431760 Santo Antônio da Patrulha";-;-;-;-;-;-;-;-;1;-;1;-;-;2;-;-;-;1;1;4;1;2;1;-;-;-;-;2;-;4;1;1;3;1;-;-;1;-;1;1;2;-;-;-;-;1;1;-;1;1;-;-;-;-;-;-;1;-;8;-;-;-;-;-;-;-;-;1;1;2;3;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;2;-;-;-;1;-;1;1;-;1;-;-;-;-;1;-;1;-;-;-;-;75
"431770 Santo Antônio das Missões";-;-;-;-;-;-;-;1;1;2;-;2;3;1;1;1;-;-;4;6;-;2;2;1;1;2;-;-;-;1;1;-;1;-;4;2;1;3;-;-;-;2;3;-;1;-;-;1;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57
"431755 Santo Antônio do Palma";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;1;-;2;-;-;-;1;-;1;1;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"431775 Santo Antônio do Planalto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
