,MUNCOD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
112,520140,0,0,0,0,0,1,0,0,0,1,7,1,1
113,520170,0,0,0,0,0,0,0,0,0,0,0,1,0
114,520320,0,0,0,0,0,0,0,0,0,0,1,0,0
115,520350,0,0,0,0,0,0,0,0,0,0,0,2,0
116,520380,0,0,0,0,0,0,0,0,0,0,0,0,1
117,520470,0,0,0,0,0,0,0,0,0,0,0,2,0
118,520540,0,0,0,0,0,0,0,0,1,0,0,0,0
119,520830,0,0,0,0,0,0,0,0,0,0,0,0,1
120,520870,0,1,0,0,0,0,0,1,5,4,7,5,2
121,520880,0,0,0,0,0,0,0,0,0,0,2,0,0
122,520970,0,0,0,0,0,0,0,0,0,0,3,0,0
123,521150,0,0,0,0,0,0,0,0,0,0,1,0,0
124,521220,0,0,0,0,0,0,0,0,0,0,0,1,0
125,521280,0,0,0,0,0,0,0,0,0,1,0,0,0
126,521295,0,0,0,0,0,0,0,0,0,1,0,0,0
127,521400,0,0,0,0,0,0,0,0,0,0,0,1,0
128,521570,0,0,0,0,0,0,0,0,0,0,2,0,0
129,521800,0,0,0,0,0,0,0,0,0,0,0,1,0
130,521830,0,0,0,0,0,0,0,0,0,1,0,0,0
131,522010,0,0,0,0,0,0,0,0,0,0,0,1,0
132,522045,0,0,0,0,0,0,0,0,0,2,0,0,0
133,522060,0,0,0,0,0,0,0,0,0,0,0,1,0
134,522140,0,0,0,0,0,0,0,0,3,0,1,2,0
135,522160,0,0,0,0,0,0,0,0,0,0,0,1,0
136,522185,0,0,0,0,0,0,0,0,0,0,1,0,0
137,530010,0,4,5,0,0,0,0,0,1,1,0,0,0
