,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total,MUNCOD
331,0,0,0,1,0,1,0,0,1,0,0,3,170390
332,0,0,0,0,1,0,0,0,0,0,0,1,170410
333,0,1,0,0,0,1,1,0,0,0,0,3,170510
334,0,1,0,0,0,0,0,0,0,0,2,3,170460
335,3,3,2,5,1,1,7,2,3,0,4,31,170550
336,0,3,1,1,0,1,0,1,0,1,1,9,171670
337,0,0,0,2,0,0,0,0,0,0,0,2,170555
338,1,0,0,0,1,0,0,0,0,0,0,2,170560
339,0,3,0,0,0,0,0,0,0,0,0,3,170600
340,2,0,1,2,0,0,0,0,2,3,0,10,170610
341,1,0,1,0,1,0,0,0,0,1,0,4,170650
342,0,1,3,2,2,1,0,3,1,3,3,19,170700
343,0,0,0,1,1,0,2,1,0,2,0,7,170710
344,1,0,1,0,2,0,0,1,2,0,0,7,170720
345,3,0,0,0,0,1,0,2,0,1,0,7,170730
346,0,1,0,1,0,0,0,0,0,1,3,6,170740
347,0,0,0,1,0,0,0,0,1,0,0,2,170755
348,0,0,2,0,0,0,0,1,0,0,1,4,170765
349,0,0,0,0,2,0,1,0,0,0,0,3,170770
350,0,2,2,0,2,3,2,2,1,2,2,18,170820
351,0,0,0,0,1,0,0,0,1,0,0,2,170825
352,0,2,0,2,0,2,0,1,0,3,0,10,170830
353,1,0,0,0,1,0,0,1,1,1,0,5,170900
354,3,1,2,3,2,3,0,3,2,2,3,24,170930
355,9,8,5,5,8,8,4,3,4,7,5,66,170950
356,2,0,1,2,0,0,1,0,1,1,2,10,171050
357,0,0,2,0,1,0,0,0,0,1,0,4,171070
358,1,0,0,0,0,0,0,0,0,0,0,1,171090
359,0,0,0,0,0,1,0,0,1,0,0,2,171110
360,1,0,0,0,1,2,0,0,1,0,0,5,171150
361,0,0,0,0,0,0,1,0,0,0,0,1,171180
362,1,1,0,0,4,0,3,4,5,2,1,21,171190
363,1,0,0,0,0,0,0,0,1,1,0,3,171195
364,0,0,1,0,0,0,0,1,1,0,0,3,171200
365,0,0,0,0,0,0,0,0,0,0,1,1,171240
366,0,1,0,1,0,0,0,0,0,1,0,3,171250
367,0,0,1,0,0,0,0,0,0,0,0,1,171270
368,1,2,0,0,2,1,3,0,3,1,1,14,171320
369,1,2,1,2,1,1,2,2,3,1,2,18,171330
370,1,0,0,0,0,0,1,1,0,1,0,4,171360
371,0,0,0,0,0,0,1,0,0,0,0,1,171370
372,0,0,0,0,0,0,0,0,0,1,0,1,171395
373,0,1,1,2,1,0,0,1,0,2,5,13,171420
374,1,1,0,1,0,0,0,0,0,0,1,4,171430
375,1,1,0,0,1,0,0,1,0,0,3,7,171488
376,0,0,1,1,0,0,0,0,0,0,0,2,171500
377,0,0,0,0,0,0,1,0,0,1,0,2,171510
378,0,0,1,1,0,1,0,0,0,1,0,4,171515
379,0,1,1,0,1,1,0,0,0,0,0,4,171525
380,0,0,0,0,0,0,0,1,0,0,0,1,171550
381,11,9,14,9,10,13,8,14,12,14,24,138,172100
382,0,0,0,2,0,0,0,0,0,0,3,5,171570
383,0,0,1,1,1,0,0,1,1,0,0,5,171380
384,0,0,0,1,0,0,0,0,0,2,0,3,171575
385,2,1,3,5,3,4,4,1,4,8,5,40,171610
386,1,0,1,0,1,2,2,0,2,1,0,10,171620
387,0,0,0,0,1,1,0,0,0,1,0,3,171630
388,1,0,0,2,0,0,0,1,1,2,1,8,171650
389,1,0,0,0,1,0,1,0,0,2,1,6,171660
390,0,0,0,0,0,0,0,0,0,0,1,1,171665
391,0,0,1,0,0,0,0,0,0,1,0,2,171700
392,1,0,0,0,0,0,0,0,1,0,0,2,171720
393,0,1,2,0,0,1,2,0,2,3,1,12,171750
394,1,1,0,0,0,1,0,1,2,0,0,6,171780
395,0,0,1,0,0,3,2,0,0,0,0,6,171790
396,0,0,0,0,2,0,1,0,0,0,0,3,171800
397,2,6,3,5,4,6,3,3,3,1,5,41,171820
398,0,0,0,0,0,1,0,0,0,0,1,2,171830
399,0,0,0,0,0,0,1,0,0,0,0,1,171840
400,0,1,1,1,0,0,0,0,0,0,0,3,171845
401,0,0,0,0,0,2,1,0,0,0,0,3,171850
402,0,1,0,0,0,0,0,0,0,0,0,1,171855
403,0,0,1,0,0,0,1,0,0,0,0,2,171870
